ko	Genes
K08490	Mhon_009435
K00548	Mhon_009436
K06934	Mhon_009437
K00863	Mhon_009439
K00863	Mhon_009440
K09336	Mhon_009441
K09336	Mhon_009442
K17807	Mhon_009448
K21121	Mhon_009448
K09680	Mhon_009451
K21915	Mhon_009451
K03106	Mhon_009452
K00288	Mhon_009454
K13403	Mhon_009454
K06704	Mhon_009456
K11153	Mhon_009457
K11161	Mhon_009457
K00658	Mhon_009458
K20211	Mhon_009460
K04280	Mhon_009462
K01049	Mhon_009468
K01050	Mhon_009468
K18733	Mhon_009477
K01310	Mhon_009478
K21486	Mhon_009480
K07767	Mhon_009481
K05127	Mhon_009482
K05127	Mhon_009484
K03027	Mhon_009487
K11827	Mhon_009488
K20635	Mhon_009489
K04350	Mhon_009490
K12362	Mhon_009490
K12364	Mhon_009490
K15103	Mhon_009493
K02183	Mhon_009496
K06052	Mhon_009497
K21848	Mhon_009499
K14527	Mhon_009500
K14963	Mhon_009501
K17701	Mhon_009501
K06934	Mhon_009504
K14026	Mhon_009505
K04214	Mhon_009506
K04214	Mhon_009507
K13273	Mhon_009508
K00011	Mhon_009509
K00555	Mhon_009509
K10904	Mhon_009512
K03544	Mhon_009514
K08202	Mhon_009515
K03320	Mhon_009516
K07232	Mhon_009524
K21862	Mhon_009525
K21232	Mhon_009526
K03635	Mhon_009527
K03023	Mhon_009528
K08746	Mhon_009531
K08749	Mhon_009531
K18437	Mhon_009536
K18437	Mhon_009537
K14291	Mhon_009539
K17201	Mhon_009540
K06115	Mhon_009542
K06115	Mhon_009544
K06115	Mhon_009545
K06115	Mhon_009546
K06115	Mhon_009547
K14715	Mhon_009552
K13751	Mhon_009553
K13752	Mhon_009553
K14158	Mhon_009557
K14389	Mhon_009557
K19873	Mhon_009565
K13295	Mhon_009566
K00140	Mhon_009567
K19751	Mhon_009568
K02149	Mhon_009570
K01304	Mhon_009573
K15013	Mhon_009573
K17936	Mhon_009577
K04513	Mhon_009580
K04513	Mhon_009581
K02183	Mhon_009582
K12343	Mhon_009588
K21358	Mhon_009606
K16467	Mhon_009618
K00710	Mhon_009624
K07418	Mhon_009625
K14985	Mhon_009625
K17946	Mhon_009625
K17955	Mhon_009625
K17956	Mhon_009625
K17957	Mhon_009625
K17958	Mhon_009625
K18408	Mhon_009629
K16576	Mhon_009631
K17576	Mhon_009633
K08816	Mhon_009634
K08900	Mhon_009635
K01080	Mhon_009639
K19581	Mhon_009639
K09624	Mhon_009640
K18038	Mhon_009644
K02207	Mhon_009645
K05312	Mhon_009650
K04360	Mhon_009655
K05101	Mhon_009655
K13411	Mhon_009662
K17292	Mhon_009663
K01265	Mhon_009670
K01904	Mhon_009684
K09537	Mhon_009685
K11373	Mhon_009691
K17569	Mhon_009693
K09098	Mhon_009694
K00463	Mhon_009699
K12892	Mhon_009702
K10586	Mhon_009703
K17262	Mhon_009704
K03510	Mhon_009707
K03510	Mhon_009708
K00914	Mhon_009709
K02183	Mhon_009710
K02183	Mhon_009712
K01557	Mhon_009713
K02183	Mhon_009714
K15614	Mhon_009718
K19472	Mhon_009718
K01131	Mhon_009722
K01132	Mhon_009722
K18222	Mhon_009722
K01011	Mhon_009724
K11353	Mhon_009725
K10409	Mhon_009727
K19758	Mhon_009731
K11416	Mhon_009751
K11182	Mhon_009753
K03768	Mhon_009763
K01360	Mhon_009766
K00504	Mhon_009777
K12597	Mhon_009777
K18200	Mhon_009777
K16488	Mhon_009786
K11884	Mhon_009790
K17906	Mhon_009802
K01580	Mhon_009803
K01594	Mhon_009803
K18966	Mhon_009803
K00109	Mhon_009804
K10649	Mhon_009805
K19756	Mhon_009806
K16686	Mhon_009807
K02183	Mhon_009813
K10669	Mhon_009816
K15791	Mhon_009818
K17083	Mhon_009819
K16781	Mhon_009820
K20368	Mhon_009821
K22382	Mhon_009822
K00649	Mhon_009824
K09452	Mhon_009827
K09395	Mhon_009832
K09411	Mhon_009832
K04739	Mhon_009841
K10277	Mhon_009842
K16220	Mhon_009843
K00710	Mhon_009845
K00710	Mhon_009847
K05606	Mhon_009852
K17804	Mhon_009853
K12741	Mhon_009859
K14411	Mhon_009859
K08746	Mhon_009860
K08749	Mhon_009860
K06287	Mhon_009861
K01512	Mhon_009872
K01512	Mhon_009873
K18025	Mhon_009874
K04393	Mhon_009876
K07865	Mhon_009876
K07377	Mhon_009879
K00659	Mhon_009883
K01068	Mhon_009883
K00659	Mhon_009885
K01068	Mhon_009885
K00659	Mhon_009888
K01068	Mhon_009888
K04924	Mhon_009895
K04147	Mhon_009896
K14536	Mhon_009905
K13499	Mhon_009906
K04661	Mhon_009910
K11982	Mhon_009913
K12882	Mhon_009917
K13288	Mhon_009917
K19328	Mhon_009918
K08694	Mhon_009924
K10601	Mhon_009925
K09104	Mhon_009927
K11247	Mhon_009937
K10750	Mhon_009939
K11294	Mhon_009940
K15210	Mhon_009941
K16582	Mhon_009942
K00069	Mhon_009943
K14391	Mhon_009947
K14692	Mhon_009956
K20751	Mhon_009957
K01586	Mhon_009964
K09332	Mhon_009970
K08811	Mhon_009973
K08811	Mhon_009974
K05681	Mhon_009976
K00962	Mhon_009979
K09385	Mhon_009982
K00974	Mhon_009985
K05546	Mhon_009986
K06699	Mhon_009987
K01512	Mhon_009988
K22078	Mhon_009990
K07865	Mhon_009991
K04393	Mhon_009994
K07865	Mhon_009997
K04393	Mhon_010000
K11366	Mhon_010000
K04393	Mhon_010001
K04393	Mhon_010002
K04393	Mhon_010003
K04393	Mhon_010004
K15426	Mhon_010005
K15613	Mhon_010034
K16670	Mhon_010034
K16672	Mhon_010034
K16196	Mhon_010035
K01669	Mhon_010036
K15025	Mhon_010038
K03063	Mhon_010041
K04393	Mhon_010043
K04505	Mhon_010045
K16914	Mhon_010050
K00913	Mhon_010055
K15103	Mhon_010057
K15103	Mhon_010064
K13051	Mhon_010071
K20096	Mhon_010079
K12173	Mhon_010080
K15630	Mhon_010081
K13513	Mhon_010082
K17341	Mhon_010084
K11829	Mhon_010085
K03120	Mhon_010086
K14819	Mhon_010088
K18042	Mhon_010088
K03064	Mhon_010089
K20858	Mhon_010089
K08268	Mhon_010091
K10586	Mhon_010091
K13217	Mhon_010093
K14816	Mhon_010095
K15333	Mhon_010097
K00939	Mhon_010099
K13514	Mhon_010101
K01277	Mhon_010104
K04922	Mhon_010105
K13514	Mhon_010107
K03440	Mhon_010122
K15376	Mhon_010124
K16896	Mhon_010130
K16897	Mhon_010130
K14300	Mhon_010132
K01476	Mhon_010133
K08268	Mhon_010135
K10586	Mhon_010135
K22197	Mhon_010136
K09032	Mhon_010137
K21406	Mhon_010137
K08578	Mhon_010138
K08585	Mhon_010138
K20349	Mhon_010140
K04195	Mhon_010142
K05266	Mhon_010142
K14353	Mhon_010163
K04218	Mhon_010164
K14072	Mhon_010164
K09569	Mhon_010167
K20794	Mhon_010169
K21763	Mhon_010171
K08115	Mhon_010172
K21763	Mhon_010172
K09592	Mhon_010175
K00963	Mhon_010181
K17600	Mhon_010182
K15127	Mhon_010183
K11655	Mhon_010184
K00025	Mhon_010185
K19757	Mhon_010187
K19199	Mhon_010189
K15133	Mhon_010198
K00710	Mhon_010202
K19532	Mhon_010206
K11162	Mhon_010207
K11168	Mhon_010207
K04506	Mhon_010208
K11153	Mhon_010208
K11161	Mhon_010208
K06051	Mhon_010213
K21635	Mhon_010213
K09201	Mhon_010216
K04712	Mhon_010217
K00621	Mhon_010218
K18159	Mhon_010219
K17610	Mhon_010220
K14006	Mhon_010221
K08657	Mhon_010222
K18162	Mhon_010223
K20364	Mhon_010226
K10684	Mhon_010227
K18826	Mhon_010246
K17601	Mhon_010252
K06974	Mhon_010256
K16307	Mhon_010258
K09254	Mhon_010260
K07583	Mhon_010268
K09880	Mhon_010270
K03017	Mhon_010273
K04908	Mhon_010277
K06826	Mhon_010280
K06269	Mhon_010281
K17601	Mhon_010289
K17601	Mhon_010301
K05323	Mhon_010312
K20007	Mhon_010312
K16746	Mhon_010313
K08991	Mhon_010314
K02896	Mhon_010315
K10524	Mhon_010320
K01054	Mhon_010328
K06107	Mhon_010334
K12403	Mhon_010339
K17608	Mhon_010340
K13140	Mhon_010341
K01893	Mhon_010342
K02902	Mhon_010342
K03245	Mhon_010345
K05312	Mhon_010348
K01785	Mhon_010350
K05312	Mhon_010351
K05312	Mhon_010352
K17602	Mhon_010354
K09339	Mhon_010356
K01785	Mhon_010357
K01785	Mhon_010358
K14589	Mhon_010362
K04457	Mhon_010365
K04461	Mhon_010365
K18177	Mhon_010366
K12231	Mhon_010371
K08765	Mhon_010374
K01444	Mhon_010383
K06640	Mhon_010384
K06640	Mhon_010387
K06640	Mhon_010398
K01444	Mhon_010399
K17804	Mhon_010402
K05606	Mhon_010403
K13780	Mhon_010411
K09454	Mhon_010414
K01958	Mhon_010421
K18423	Mhon_010426
K19026	Mhon_010431
K21436	Mhon_010432
K08568	Mhon_010436
K10104	Mhon_010441
K05719	Mhon_010458
K09884	Mhon_010458
K15437	Mhon_010485
K15285	Mhon_010490
K02896	Mhon_010493
K04994	Mhon_010494
K07933	Mhon_010501
K18665	Mhon_010508
K12804	Mhon_010509
K20124	Mhon_010509
K11254	Mhon_010510
K11253	Mhon_010511
K11275	Mhon_010511
K11251	Mhon_010512
K09604	Mhon_010519
K11141	Mhon_010519
K07393	Mhon_010530
K09624	Mhon_010574
K17267	Mhon_010575
K18619	Mhon_010587
K20407	Mhon_010601
K09504	Mhon_010618
K18619	Mhon_010619
K05038	Mhon_010620
K13855	Mhon_010635
K13858	Mhon_010635
K13859	Mhon_010635
K13861	Mhon_010635
K03440	Mhon_010650
K14818	Mhon_010650
K06115	Mhon_010653
K10843	Mhon_010656
K11270	Mhon_010656
K10843	Mhon_010657
K11270	Mhon_010657
K12321	Mhon_010659
K12322	Mhon_010659
K14613	Mhon_010667
K20840	Mhon_010667
K10699	Mhon_010675
K12567	Mhon_010676
K15255	Mhon_010682
K12567	Mhon_010687
K01202	Mhon_010705
K06252	Mhon_010713
K03103	Mhon_010716
K13811	Mhon_010717
K04854	Mhon_010719
K17935	Mhon_010723
K15235	Mhon_010724
K00121	Mhon_010730
K09507	Mhon_010751
K09510	Mhon_010751
K09511	Mhon_010751
K10266	Mhon_010752
K14286	Mhon_010753
K17495	Mhon_010769
K06515	Mhon_010789
K12844	Mhon_010791
K06515	Mhon_010793
K06694	Mhon_010795
K01027	Mhon_010798
K06107	Mhon_010800
K14859	Mhon_010810
K01832	Mhon_010815
K07424	Mhon_010815
K01832	Mhon_010816
K07424	Mhon_010816
K01047	Mhon_010822
K04658	Mhon_010824
K04658	Mhon_010826
K09328	Mhon_010832
K09328	Mhon_010833
K17868	Mhon_010836
K08824	Mhon_010838
K08076	Mhon_010846
K10656	Mhon_010849
K09669	Mhon_010850
K11257	Mhon_010850
K14007	Mhon_010851
K04370	Mhon_010853
K14753	Mhon_010864
K04382	Mhon_010865
K22074	Mhon_010865
K05849	Mhon_010871
K05849	Mhon_010874
K05360	Mhon_010876
K12598	Mhon_010877
K13862	Mhon_010878
K10247	Mhon_010879
K10250	Mhon_010879
K03246	Mhon_010880
K04986	Mhon_010883
K12172	Mhon_010887
K12172	Mhon_010888
K02175	Mhon_010899
K07819	Mhon_010899
K07819	Mhon_010900
K04870	Mhon_010902
K05330	Mhon_010908
K05330	Mhon_010910
K05330	Mhon_010911
K03671	Mhon_010916
K13159	Mhon_010931
K12811	Mhon_010932
K22420	Mhon_010935
K01265	Mhon_010936
K12386	Mhon_010937
K16686	Mhon_010937
K17436	Mhon_010937
K17436	Mhon_010938
K10656	Mhon_010943
K05677	Mhon_010944
K07198	Mhon_010945
K18398	Mhon_010948
K18398	Mhon_010949
K18398	Mhon_010950
K11981	Mhon_010953
K14555	Mhon_010954
K05542	Mhon_010956
K02154	Mhon_010957
K12175	Mhon_010958
K19919	Mhon_010973
K07843	Mhon_010975
K07844	Mhon_010975
K13238	Mhon_010975
K10577	Mhon_010980
K20474	Mhon_010981
K11064	Mhon_010982
K03331	Mhon_010984
K03107	Mhon_010989
K12837	Mhon_010993
K02998	Mhon_010994
K21848	Mhon_010994
K14662	Mhon_010995
K07376	Mhon_010996
K17095	Mhon_011002
K17095	Mhon_011003
K17095	Mhon_011005
K16744	Mhon_011006
K10615	Mhon_011009
K15438	Mhon_011011
K11728	Mhon_011012
K12195	Mhon_011014
K08336	Mhon_011015
K09404	Mhon_011017
K18631	Mhon_011018
K09404	Mhon_011024
K12891	Mhon_011025
K21767	Mhon_011027
K14443	Mhon_011028
K03363	Mhon_011031
K07870	Mhon_011034
K21767	Mhon_011035
K21958	Mhon_011036
K13238	Mhon_011040
K08136	Mhon_011045
K11308	Mhon_011046
K02257	Mhon_011054
K03540	Mhon_011055
K07305	Mhon_011056
K15118	Mhon_011057
K16535	Mhon_011058
K04266	Mhon_011059
K10426	Mhon_011061
K02580	Mhon_011067
K04469	Mhon_011067
K00746	Mhon_011069
K10898	Mhon_011072
K04432	Mhon_011073
K04433	Mhon_011073
K07759	Mhon_011075
K02974	Mhon_011076
K06276	Mhon_011080
K21914	Mhon_011081
K08853	Mhon_011086
K14964	Mhon_011089
K00804	Mhon_011090
K11253	Mhon_011092
K03165	Mhon_011093
K21988	Mhon_011096
K16717	Mhon_011098
K20176	Mhon_011098
K14072	Mhon_011112
K04224	Mhon_011113
K04225	Mhon_011113
K14072	Mhon_011114
K14072	Mhon_011115
K10303	Mhon_011118
K17345	Mhon_011118
K00261	Mhon_011119
K12603	Mhon_011121
K20363	Mhon_011121
K15259	Mhon_011125
K15261	Mhon_011125
K11089	Mhon_011126
K04739	Mhon_011143
K09595	Mhon_011149
K07766	Mhon_011150
K07952	Mhon_011151
K09398	Mhon_011152
K15865	Mhon_011154
K20280	Mhon_011154
K12823	Mhon_011157
K13178	Mhon_011157
K15029	Mhon_011158
K00789	Mhon_011160
K10281	Mhon_011164
K12847	Mhon_011180
K02156	Mhon_011182
K04986	Mhon_011184
K04990	Mhon_011184
K14386	Mhon_011190
K14388	Mhon_011190
K14388	Mhon_011191
K22290	Mhon_011192
K16726	Mhon_011194
K00799	Mhon_011195
K08573	Mhon_011200
K08585	Mhon_011200
K07427	Mhon_011202
K15001	Mhon_011202
K17953	Mhon_011202
K12823	Mhon_011203
K13178	Mhon_011203
K00600	Mhon_011205
K08811	Mhon_011206
K10203	Mhon_011207
K12182	Mhon_011212
K11852	Mhon_011215
K21343	Mhon_011215
K00567	Mhon_011216
K06269	Mhon_011217
K10858	Mhon_011218
K01231	Mhon_011219
K01231	Mhon_011220
K12852	Mhon_011221
K01365	Mhon_011224
K01365	Mhon_011225
K01365	Mhon_011226
K20135	Mhon_011229
K10361	Mhon_011232
K03842	Mhon_011233
K01081	Mhon_011234
K01183	Mhon_011242
K07556	Mhon_011248
K15684	Mhon_011249
K13196	Mhon_011250
K13806	Mhon_011255
K04224	Mhon_011258
K04225	Mhon_011258
K14569	Mhon_011259
K00022	Mhon_011260
K04225	Mhon_011263
K04240	Mhon_011263
K08375	Mhon_011263
K04225	Mhon_011267
K04240	Mhon_011267
K08375	Mhon_011267
K04225	Mhon_011268
K04240	Mhon_011268
K08375	Mhon_011268
K00432	Mhon_011269
K14007	Mhon_011271
K10352	Mhon_011273
K17751	Mhon_011273
K10106	Mhon_011283
K10087	Mhon_011284
K17769	Mhon_011285
K15001	Mhon_011286
K15001	Mhon_011287
K07819	Mhon_011289
K02175	Mhon_011290
K03766	Mhon_011290
K07819	Mhon_011290
K09664	Mhon_011290
K02084	Mhon_011291
K03363	Mhon_011291
K20280	Mhon_011292
K12580	Mhon_011294
K16540	Mhon_011295
K00019	Mhon_011296
K09680	Mhon_011305
K07375	Mhon_011307
K14786	Mhon_011312
K10314	Mhon_011313
K06975	Mhon_011315
K06975	Mhon_011316
K00509	Mhon_011325
K11987	Mhon_011325
K02267	Mhon_011327
K01488	Mhon_011328
K19572	Mhon_011328
K01488	Mhon_011329
K19572	Mhon_011329
K04402	Mhon_011330
K04402	Mhon_011333
K05692	Mhon_011334
K05692	Mhon_011335
K05692	Mhon_011336
K09204	Mhon_011341
K09207	Mhon_011341
K17845	Mhon_011341
K02871	Mhon_011347
K08798	Mhon_011347
K10258	Mhon_011349
K08073	Mhon_011356
K04377	Mhon_011358
K00791	Mhon_011359
K01969	Mhon_011362
K11324	Mhon_011363
K12877	Mhon_011365
K13124	Mhon_011366
K05129	Mhon_011367
K14830	Mhon_011368
K15304	Mhon_011370
K16478	Mhon_011372
K04239	Mhon_011377
K09072	Mhon_011381
K13216	Mhon_011388
K01080	Mhon_011391
K04662	Mhon_011393
K19352	Mhon_011395
K20309	Mhon_011405
K05637	Mhon_011407
K13524	Mhon_011413
K19867	Mhon_011414
K01312	Mhon_011417
K01362	Mhon_011417
K08670	Mhon_011417
K20111	Mhon_011417
K00569	Mhon_011420
K01672	Mhon_011422
K01674	Mhon_011422
K01672	Mhon_011423
K19603	Mhon_011424
K10739	Mhon_011426
K03137	Mhon_011429
K12396	Mhon_011431
K09168	Mhon_011432
K09172	Mhon_011432
K18932	Mhon_011433
K16738	Mhon_011436
K16739	Mhon_011436
K14801	Mhon_011437
K14015	Mhon_011453
K04225	Mhon_011455
K14071	Mhon_011455
K14072	Mhon_011455
K05126	Mhon_011456
K15108	Mhon_011457
K00654	Mhon_011460
K01758	Mhon_011464
K10584	Mhon_011465
K22071	Mhon_011467
K06776	Mhon_011471
K13297	Mhon_011471
K18034	Mhon_011471
K13912	Mhon_011482
K18423	Mhon_011483
K09268	Mhon_011491
K08798	Mhon_011493
K08796	Mhon_011494
K14798	Mhon_011497
K15169	Mhon_011498
K16724	Mhon_011499
K13800	Mhon_011502
K11471	Mhon_011505
K21630	Mhon_011506
K05122	Mhon_011507
K05123	Mhon_011507
K08252	Mhon_011507
K04397	Mhon_011509
K04489	Mhon_011509
K20008	Mhon_011509
K13912	Mhon_011510
K09624	Mhon_011513
K09637	Mhon_011513
K07195	Mhon_011515
K12866	Mhon_011516
K12866	Mhon_011517
K09402	Mhon_011518
K16353	Mhon_011522
K13298	Mhon_011526
K12471	Mhon_011532
K01897	Mhon_011533
K10872	Mhon_011534
K19347	Mhon_011534
K12845	Mhon_011535
K05849	Mhon_011536
K05849	Mhon_011537
K02857	Mhon_011538
K16585	Mhon_011539
K10596	Mhon_011540
K15192	Mhon_011543
K06058	Mhon_011547
K11997	Mhon_011547
K12026	Mhon_011547
K04669	Mhon_011555
K05496	Mhon_011555
K08076	Mhon_011562
K08076	Mhon_011563
K01312	Mhon_011567
K01316	Mhon_011567
K09614	Mhon_011567
K09640	Mhon_011567
K17495	Mhon_011567
K10408	Mhon_011570
K14292	Mhon_011570
K12623	Mhon_011573
K10244	Mhon_011576
K16583	Mhon_011578
K02951	Mhon_011581
K01024	Mhon_011582
K08104	Mhon_011582
K15281	Mhon_011583
K00876	Mhon_011584
K19676	Mhon_011585
K18762	Mhon_011592
K15707	Mhon_011593
K16536	Mhon_011594
K04225	Mhon_011607
K04225	Mhon_011608
K04225	Mhon_011609
K15191	Mhon_011615
K08018	Mhon_011617
K14851	Mhon_011620
K01769	Mhon_011622
K16573	Mhon_011622
K15708	Mhon_011625
K01315	Mhon_011631
K04009	Mhon_011644
K04218	Mhon_011644
K04220	Mhon_011644
K04221	Mhon_011644
K05704	Mhon_011645
K05705	Mhon_011645
K01507	Mhon_011646
K11726	Mhon_011646
K04491	Mhon_011647
K13577	Mhon_011654
K01805	Mhon_011660
K04261	Mhon_011661
K04225	Mhon_011674
K14071	Mhon_011674
K14072	Mhon_011674
K14404	Mhon_011676
K08665	Mhon_011678
K09637	Mhon_011678
K09640	Mhon_011678
K01316	Mhon_011679
K09614	Mhon_011679
K09640	Mhon_011679
K17495	Mhon_011679
K04986	Mhon_011682
K04988	Mhon_011682
K04986	Mhon_011683
K04988	Mhon_011683
K07913	Mhon_011685
K07914	Mhon_011685
K07913	Mhon_011687
K07914	Mhon_011687
K04194	Mhon_011692
K20703	Mhon_011696
K01110	Mhon_011706
K03939	Mhon_011712
K22381	Mhon_011715
K04534	Mhon_011720
K04640	Mhon_011720
K00857	Mhon_011723
K05961	Mhon_011723
K15720	Mhon_011725
K07809	Mhon_011727
K09678	Mhon_011727
K07809	Mhon_011728
K09678	Mhon_011728
K07809	Mhon_011731
K09678	Mhon_011731
K14805	Mhon_011733
K17362	Mhon_011736
K05641	Mhon_011739
K05643	Mhon_011739
K05641	Mhon_011740
K05643	Mhon_011740
K13348	Mhon_011741
K14416	Mhon_011744
K01519	Mhon_011745
K17095	Mhon_011746
K09534	Mhon_011756
K15446	Mhon_011757
K10839	Mhon_011758
K01816	Mhon_011759
K10265	Mhon_011760
K03120	Mhon_011762
K09828	Mhon_011763
K10350	Mhon_011764
K03120	Mhon_011765
K09828	Mhon_011766
K10638	Mhon_011767
K10350	Mhon_011771
K12349	Mhon_011776
K00899	Mhon_011777
K01127	Mhon_011779
K01127	Mhon_011781
K01127	Mhon_011782
K03469	Mhon_011789
K08963	Mhon_011792
K08828	Mhon_011795
K08829	Mhon_011795
K07903	Mhon_011796
K19007	Mhon_011800
K15700	Mhon_011801
K03250	Mhon_011802
K20166	Mhon_011807
K02993	Mhon_011808
K10688	Mhon_011809
K15759	Mhon_011810
K06515	Mhon_011813
K16744	Mhon_011820
K04009	Mhon_011826
K04218	Mhon_011826
K04220	Mhon_011826
K04221	Mhon_011826
K14005	Mhon_011827
K03251	Mhon_011828
K15047	Mhon_011830
K15698	Mhon_011830
K02599	Mhon_011831
K05637	Mhon_011831
K22074	Mhon_011832
K08288	Mhon_011835
K11268	Mhon_011846
K10305	Mhon_011852
K19484	Mhon_011855
K15890	Mhon_011856
K13302	Mhon_011857
K13304	Mhon_011857
K19681	Mhon_011858
K01265	Mhon_011861
K17921	Mhon_011861
K20476	Mhon_011863
K05704	Mhon_011864
K05705	Mhon_011864
K17254	Mhon_011865
K17585	Mhon_011866
K06709	Mhon_011867
K09037	Mhon_011873
K04225	Mhon_011876
K01183	Mhon_011878
K01183	Mhon_011880
K01183	Mhon_011881
K01183	Mhon_011884
K01183	Mhon_011885
K01183	Mhon_011888
K03259	Mhon_011894
K04225	Mhon_011901
K04240	Mhon_011901
K08375	Mhon_011901
K19759	Mhon_011902
K14072	Mhon_011911
K01183	Mhon_011913
K01832	Mhon_011933
K07424	Mhon_011933
K02923	Mhon_011934
K08618	Mhon_011935
K08619	Mhon_011935
K19683	Mhon_011937
K12597	Mhon_011938
K14071	Mhon_011942
K14071	Mhon_011943
K09669	Mhon_011945
K11257	Mhon_011945
K09669	Mhon_011946
K11257	Mhon_011946
K09669	Mhon_011947
K11257	Mhon_011947
K11980	Mhon_011952
K09176	Mhon_011958
K09180	Mhon_011958
K18629	Mhon_011962
K09291	Mhon_011963
K20478	Mhon_011963
K18334	Mhon_011965
K18464	Mhon_011966
K04885	Mhon_011967
K13344	Mhon_011970
K05693	Mhon_011971
K06776	Mhon_011971
K13297	Mhon_011971
K17043	Mhon_011972
K11343	Mhon_011973
K07739	Mhon_011977
K08066	Mhon_011978
K15129	Mhon_011979
K01974	Mhon_011987
K17550	Mhon_011991
K18681	Mhon_011995
K18681	Mhon_012000
K12475	Mhon_012004
K15266	Mhon_012011
K14773	Mhon_012012
K03247	Mhon_012013
K12623	Mhon_012014
K14692	Mhon_012014
K00858	Mhon_012015
K00586	Mhon_012019
K10589	Mhon_012020
K09568	Mhon_012021
K09568	Mhon_012024
K14570	Mhon_012030
K13291	Mhon_012031
K01315	Mhon_012035
K09644	Mhon_012035
K01315	Mhon_012036
K09644	Mhon_012036
K01315	Mhon_012037
K09644	Mhon_012037
K01315	Mhon_012039
K09644	Mhon_012039
K01315	Mhon_012040
K09644	Mhon_012040
K01315	Mhon_012041
K09644	Mhon_012041
K00569	Mhon_012049
K17362	Mhon_012050
K01315	Mhon_012051
K13297	Mhon_012054
K04255	Mhon_012056
K13802	Mhon_012056
K10532	Mhon_012059
K13236	Mhon_012060
K13237	Mhon_012060
K10581	Mhon_012061
K17540	Mhon_012063
K18443	Mhon_012064
K04666	Mhon_012065
K12178	Mhon_012069
K21776	Mhon_012070
K12404	Mhon_012073
K19025	Mhon_012074
K11143	Mhon_012075
K19491	Mhon_012086
K01462	Mhon_012088
K07953	Mhon_012088
K05693	Mhon_012095
K06776	Mhon_012095
K13297	Mhon_012095
K12323	Mhon_012096
K00432	Mhon_012098
K08741	Mhon_012106
K08741	Mhon_012107
K04448	Mhon_012108
K14844	Mhon_012111
K00939	Mhon_012112
K00944	Mhon_012112
K13348	Mhon_012113
K04381	Mhon_012121
K11136	Mhon_012122
K14775	Mhon_012124
K12304	Mhon_012125
K09518	Mhon_012126
K12872	Mhon_012128
K16449	Mhon_012132
K19874	Mhon_012135
K21890	Mhon_012147
K02979	Mhon_012149
K06134	Mhon_012157
K00967	Mhon_012158
K09397	Mhon_012162
K20003	Mhon_012165
K09084	Mhon_012181
K09604	Mhon_012182
K11141	Mhon_012182
K09594	Mhon_012183
K08189	Mhon_012185
K11810	Mhon_012185
K10223	Mhon_012197
K00416	Mhon_012202
K01053	Mhon_012206
K01053	Mhon_012208
K01053	Mhon_012209
K01053	Mhon_012210
K01053	Mhon_012211
K14298	Mhon_012212
K20290	Mhon_012220
K20290	Mhon_012222
K04986	Mhon_012234
K04988	Mhon_012234
K04986	Mhon_012235
K04988	Mhon_012235
K06092	Mhon_012236
K06095	Mhon_012236
K00714	Mhon_012240
K04225	Mhon_012241
K10408	Mhon_012243
K03574	Mhon_012248
K17816	Mhon_012248
K16621	Mhon_012260
K21283	Mhon_012260
K07553	Mhon_012266
K07966	Mhon_012266
K07967	Mhon_012266
K07968	Mhon_012266
K07969	Mhon_012266
K02957	Mhon_012267
K07553	Mhon_012271
K07966	Mhon_012271
K07967	Mhon_012271
K07968	Mhon_012271
K07969	Mhon_012271
K13373	Mhon_012273
K05502	Mhon_012274
K08076	Mhon_012274
K09608	Mhon_012274
K13045	Mhon_012274
K13046	Mhon_012274
K13047	Mhon_012274
K07207	Mhon_012279
K02999	Mhon_012280
K14075	Mhon_012281
K19404	Mhon_012281
K03386	Mhon_012290
K13279	Mhon_012290
K07441	Mhon_012291
K19679	Mhon_012292
K01641	Mhon_012296
K21598	Mhon_012299
K17589	Mhon_012302
K02265	Mhon_012304
K02265	Mhon_012305
K05725	Mhon_012306
K03145	Mhon_012314
K20058	Mhon_012315
K10345	Mhon_012317
K11092	Mhon_012318
K15616	Mhon_012323
K17622	Mhon_012323
K19949	Mhon_012325
K21842	Mhon_012326
K14463	Mhon_012330
K15445	Mhon_012331
K06537	Mhon_012334
K17353	Mhon_012334
K12590	Mhon_012336
K20638	Mhon_012337
K14852	Mhon_012338
K11411	Mhon_012340
K09532	Mhon_012341
K12834	Mhon_012342
K14777	Mhon_012343
K22066	Mhon_012346
K00253	Mhon_012348
K16677	Mhon_012349
K00665	Mhon_012351
K00253	Mhon_012352
K13212	Mhon_012353
K10877	Mhon_012355
K13134	Mhon_012356
K01681	Mhon_012358
K04440	Mhon_012361
K20642	Mhon_012362
K01634	Mhon_012363
K20704	Mhon_012363
K13336	Mhon_012368
K04860	Mhon_012369
K01074	Mhon_012370
K04261	Mhon_012372
K05693	Mhon_012373
K06776	Mhon_012373
K13297	Mhon_012373
K12878	Mhon_012377
K15277	Mhon_012378
K10586	Mhon_012381
K12849	Mhon_012382
K02603	Mhon_012389
K02603	Mhon_012390
K02599	Mhon_012395
K09548	Mhon_012401
K13198	Mhon_012402
K14942	Mhon_012402
K17843	Mhon_012402
K01581	Mhon_012404
K12393	Mhon_012407
K03661	Mhon_012410
K11840	Mhon_012411
K04345	Mhon_012412
K03843	Mhon_012413
K09068	Mhon_012415
K15604	Mhon_012415
K03364	Mhon_012416
K14823	Mhon_012418
K15789	Mhon_012420
