KOG	Genes
D	Mhon_009198
B	Mhon_009199
K	Mhon_009199
T	Mhon_009202
K	Mhon_009205
U	Mhon_009211
T	Mhon_009214
T	Mhon_009215
G	Mhon_009221
C	Mhon_009222
U	Mhon_009223
G	Mhon_009224
S	Mhon_009228
G	Mhon_009229
S	Mhon_009230
S	Mhon_009233
L	Mhon_009236
S	Mhon_009239
B	Mhon_009240
T	Mhon_009240
S	Mhon_009242
J	Mhon_009243
S	Mhon_009244
O	Mhon_009253
A	Mhon_009254
K	Mhon_009255
U	Mhon_009257
T	Mhon_009258
S	Mhon_009259
S	Mhon_009260
T	Mhon_009261
O	Mhon_009265
W	Mhon_009267
S	Mhon_009268
W	Mhon_009269
I	Mhon_009270
E	Mhon_009272
T	Mhon_009273
M	Mhon_009275
S	Mhon_009276
S	Mhon_009277
T	Mhon_009278
I	Mhon_009280
G	Mhon_009281
G	Mhon_009282
S	Mhon_009283
C	Mhon_009285
A	Mhon_009286
K	Mhon_009287
T	Mhon_009289
T	Mhon_009291
G	Mhon_009295
O	Mhon_009296
E	Mhon_009297
O	Mhon_009297
E	Mhon_009298
O	Mhon_009298
E	Mhon_009299
O	Mhon_009299
E	Mhon_009300
O	Mhon_009300
S	Mhon_009310
S	Mhon_009312
S	Mhon_009313
T	Mhon_009314
J	Mhon_009316
E	Mhon_009317
E	Mhon_009318
U	Mhon_009319
O	Mhon_009320
A	Mhon_009322
S	Mhon_009323
S	Mhon_009324
S	Mhon_009326
S	Mhon_009343
Z	Mhon_009347
S	Mhon_009348
A	Mhon_009349
U	Mhon_009355
S	Mhon_009360
S	Mhon_009362
S	Mhon_009363
M	Mhon_009378
L	Mhon_009380
S	Mhon_009382
T	Mhon_009385
G	Mhon_009386
Z	Mhon_009387
G	Mhon_009388
G	Mhon_009389
S	Mhon_009390
T	Mhon_009394
C	Mhon_009396
O	Mhon_009397
L	Mhon_009399
O	Mhon_009400
J	Mhon_009402
S	Mhon_009404
T	Mhon_009405
A	Mhon_009406
S	Mhon_009407
T	Mhon_009409
W	Mhon_009409
P	Mhon_009410
T	Mhon_009411
O	Mhon_009417
S	Mhon_009418
S	Mhon_009419
S	Mhon_009420
S	Mhon_009421
A	Mhon_009423
A	Mhon_009424
S	Mhon_009425
J	Mhon_009426
K	Mhon_009428
E	Mhon_009429
S	Mhon_009430
S	Mhon_009431
P	Mhon_009432
S	Mhon_009432
S	Mhon_009433
U	Mhon_009435
E	Mhon_009436
M	Mhon_009437
G	Mhon_009439
G	Mhon_009440
K	Mhon_009441
K	Mhon_009442
S	Mhon_009447
S	Mhon_009448
H	Mhon_009451
U	Mhon_009452
O	Mhon_009453
H	Mhon_009454
W	Mhon_009456
Q	Mhon_009457
C	Mhon_009458
K	Mhon_009460
S	Mhon_009462
G	Mhon_009468
J	Mhon_009477
O	Mhon_009477
E	Mhon_009478
S	Mhon_009480
O	Mhon_009481
T	Mhon_009482
T	Mhon_009484
P	Mhon_009486
K	Mhon_009487
U	Mhon_009488
T	Mhon_009489
T	Mhon_009490
T	Mhon_009491
S	Mhon_009492
C	Mhon_009493
T	Mhon_009494
T	Mhon_009495
D	Mhon_009496
T	Mhon_009496
Z	Mhon_009496
T	Mhon_009497
S	Mhon_009499
L	Mhon_009500
B	Mhon_009501
O	Mhon_009503
U	Mhon_009503
M	Mhon_009504
M	Mhon_009505
O	Mhon_009505
T	Mhon_009505
S	Mhon_009506
S	Mhon_009507
F	Mhon_009508
J	Mhon_009509
S	Mhon_009510
S	Mhon_009511
D	Mhon_009512
O	Mhon_009513
O	Mhon_009514
O	Mhon_009515
P	Mhon_009516
S	Mhon_009518
E	Mhon_009522
A	Mhon_009523
P	Mhon_009524
P	Mhon_009525
H	Mhon_009526
H	Mhon_009527
K	Mhon_009528
T	Mhon_009530
I	Mhon_009531
T	Mhon_009536
T	Mhon_009537
A	Mhon_009539
U	Mhon_009540
Z	Mhon_009542
O	Mhon_009543
Z	Mhon_009544
Z	Mhon_009545
Z	Mhon_009546
Z	Mhon_009547
E	Mhon_009548
J	Mhon_009548
Z	Mhon_009549
S	Mhon_009551
P	Mhon_009552
P	Mhon_009553
P	Mhon_009557
M	Mhon_009560
M	Mhon_009561
S	Mhon_009565
S	Mhon_009566
E	Mhon_009567
G	Mhon_009567
C	Mhon_009568
H	Mhon_009568
C	Mhon_009570
S	Mhon_009571
T	Mhon_009572
I	Mhon_009573
T	Mhon_009577
U	Mhon_009577
T	Mhon_009579
U	Mhon_009580
U	Mhon_009581
D	Mhon_009582
T	Mhon_009582
Z	Mhon_009582
T	Mhon_009583
S	Mhon_009587
I	Mhon_009588
T	Mhon_009589
S	Mhon_009590
O	Mhon_009599
T	Mhon_009606
S	Mhon_009607
O	Mhon_009610
O	Mhon_009611
K	Mhon_009614
S	Mhon_009616
S	Mhon_009618
M	Mhon_009619
M	Mhon_009620
M	Mhon_009621
M	Mhon_009622
U	Mhon_009623
O	Mhon_009624
Q	Mhon_009625
S	Mhon_009628
A	Mhon_009629
Z	Mhon_009631
A	Mhon_009633
T	Mhon_009634
O	Mhon_009635
I	Mhon_009638
I	Mhon_009639
O	Mhon_009640
W	Mhon_009641
T	Mhon_009644
O	Mhon_009645
T	Mhon_009650
T	Mhon_009655
P	Mhon_009662
Q	Mhon_009662
Z	Mhon_009663
Z	Mhon_009664
S	Mhon_009668
O	Mhon_009670
C	Mhon_009671
E	Mhon_009673
S	Mhon_009676
S	Mhon_009677
S	Mhon_009680
S	Mhon_009681
S	Mhon_009682
S	Mhon_009683
I	Mhon_009684
Q	Mhon_009684
O	Mhon_009685
K	Mhon_009691
S	Mhon_009692
S	Mhon_009693
K	Mhon_009694
S	Mhon_009695
S	Mhon_009698
S	Mhon_009699
P	Mhon_009700
A	Mhon_009702
D	Mhon_009703
O	Mhon_009703
O	Mhon_009704
L	Mhon_009707
L	Mhon_009708
T	Mhon_009709
T	Mhon_009710
T	Mhon_009712
Q	Mhon_009713
D	Mhon_009714
T	Mhon_009714
Z	Mhon_009714
S	Mhon_009716
K	Mhon_009718
T	Mhon_009720
S	Mhon_009721
P	Mhon_009722
V	Mhon_009724
C	Mhon_009725
D	Mhon_009725
Z	Mhon_009727
S	Mhon_009728
O	Mhon_009729
O	Mhon_009730
S	Mhon_009731
T	Mhon_009734
T	Mhon_009735
T	Mhon_009736
L	Mhon_009739
L	Mhon_009742
T	Mhon_009744
L	Mhon_009745
L	Mhon_009747
L	Mhon_009748
L	Mhon_009750
B	Mhon_009751
K	Mhon_009751
Q	Mhon_009753
T	Mhon_009761
O	Mhon_009763
Z	Mhon_009765
O	Mhon_009766
P	Mhon_009768
T	Mhon_009768
P	Mhon_009769
T	Mhon_009769
P	Mhon_009770
T	Mhon_009770
E	Mhon_009772
O	Mhon_009777
S	Mhon_009778
S	Mhon_009782
B	Mhon_009785
S	Mhon_009786
S	Mhon_009789
O	Mhon_009790
S	Mhon_009791
S	Mhon_009792
S	Mhon_009793
U	Mhon_009802
E	Mhon_009803
S	Mhon_009804
O	Mhon_009805
S	Mhon_009806
A	Mhon_009807
S	Mhon_009808
T	Mhon_009813
S	Mhon_009815
J	Mhon_009816
C	Mhon_009818
D	Mhon_009819
S	Mhon_009820
O	Mhon_009821
T	Mhon_009821
U	Mhon_009821
S	Mhon_009822
S	Mhon_009823
I	Mhon_009824
K	Mhon_009827
K	Mhon_009832
S	Mhon_009834
T	Mhon_009841
B	Mhon_009842
T	Mhon_009842
S	Mhon_009843
I	Mhon_009844
O	Mhon_009845
O	Mhon_009847
S	Mhon_009848
S	Mhon_009849
S	Mhon_009850
S	Mhon_009851
G	Mhon_009852
U	Mhon_009853
A	Mhon_009859
I	Mhon_009860
D	Mhon_009861
C	Mhon_009872
C	Mhon_009873
T	Mhon_009874
U	Mhon_009876
S	Mhon_009877
T	Mhon_009879
T	Mhon_009881
T	Mhon_009882
S	Mhon_009883
S	Mhon_009884
S	Mhon_009885
S	Mhon_009886
S	Mhon_009888
S	Mhon_009893
S	Mhon_009894
P	Mhon_009895
T	Mhon_009896
S	Mhon_009897
J	Mhon_009905
G	Mhon_009906
A	Mhon_009907
S	Mhon_009910
O	Mhon_009913
S	Mhon_009916
A	Mhon_009917
T	Mhon_009918
U	Mhon_009918
E	Mhon_009923
S	Mhon_009924
O	Mhon_009925
K	Mhon_009927
E	Mhon_009932
E	Mhon_009933
K	Mhon_009934
D	Mhon_009936
T	Mhon_009936
Z	Mhon_009936
T	Mhon_009937
B	Mhon_009939
A	Mhon_009940
K	Mhon_009941
O	Mhon_009942
Q	Mhon_009943
U	Mhon_009944
S	Mhon_009946
P	Mhon_009947
S	Mhon_009948
C	Mhon_009949
S	Mhon_009953
U	Mhon_009955
Y	Mhon_009955
P	Mhon_009956
O	Mhon_009957
E	Mhon_009964
K	Mhon_009970
D	Mhon_009972
T	Mhon_009973
T	Mhon_009974
Q	Mhon_009975
Q	Mhon_009976
J	Mhon_009979
K	Mhon_009982
J	Mhon_009985
G	Mhon_009986
E	Mhon_009987
C	Mhon_009988
G	Mhon_009990
S	Mhon_009991
S	Mhon_009994
S	Mhon_009997
U	Mhon_010000
S	Mhon_010001
S	Mhon_010002
U	Mhon_010003
S	Mhon_010004
T	Mhon_010005
Z	Mhon_010008
Z	Mhon_010009
K	Mhon_010013
O	Mhon_010029
K	Mhon_010034
T	Mhon_010035
L	Mhon_010036
T	Mhon_010036
J	Mhon_010038
O	Mhon_010041
U	Mhon_010042
S	Mhon_010043
T	Mhon_010045
T	Mhon_010046
S	Mhon_010048
K	Mhon_010050
F	Mhon_010055
C	Mhon_010057
C	Mhon_010064
M	Mhon_010068
V	Mhon_010068
E	Mhon_010071
K	Mhon_010078
A	Mhon_010079
S	Mhon_010080
S	Mhon_010081
I	Mhon_010082
T	Mhon_010084
K	Mhon_010085
K	Mhon_010086
S	Mhon_010087
V	Mhon_010088
O	Mhon_010089
K	Mhon_010091
A	Mhon_010093
S	Mhon_010095
U	Mhon_010096
A	Mhon_010097
W	Mhon_010098
F	Mhon_010099
I	Mhon_010101
O	Mhon_010104
P	Mhon_010105
I	Mhon_010107
P	Mhon_010122
H	Mhon_010124
P	Mhon_010130
T	Mhon_010130
U	Mhon_010132
Y	Mhon_010132
E	Mhon_010133
K	Mhon_010135
S	Mhon_010136
K	Mhon_010137
O	Mhon_010138
T	Mhon_010138
U	Mhon_010140
S	Mhon_010142
D	Mhon_010146
Z	Mhon_010146
S	Mhon_010152
K	Mhon_010155
T	Mhon_010155
O	Mhon_010157
O	Mhon_010159
O	Mhon_010160
S	Mhon_010161
P	Mhon_010163
O	Mhon_010164
S	Mhon_010166
O	Mhon_010167
S	Mhon_010169
S	Mhon_010171
S	Mhon_010172
S	Mhon_010174
T	Mhon_010175
G	Mhon_010181
U	Mhon_010182
K	Mhon_010183
B	Mhon_010184
C	Mhon_010185
S	Mhon_010186
S	Mhon_010187
S	Mhon_010188
S	Mhon_010189
D	Mhon_010190
K	Mhon_010198
S	Mhon_010199
S	Mhon_010200
O	Mhon_010202
T	Mhon_010203
U	Mhon_010203
I	Mhon_010206
T	Mhon_010206
Q	Mhon_010207
Q	Mhon_010208
T	Mhon_010213
U	Mhon_010215
K	Mhon_010216
I	Mhon_010217
M	Mhon_010218
S	Mhon_010219
T	Mhon_010220
U	Mhon_010221
E	Mhon_010222
Q	Mhon_010223
S	Mhon_010225
S	Mhon_010226
O	Mhon_010227
S	Mhon_010245
S	Mhon_010246
I	Mhon_010247
I	Mhon_010250
T	Mhon_010252
U	Mhon_010252
S	Mhon_010254
S	Mhon_010256
T	Mhon_010258
S	Mhon_010260
S	Mhon_010262
S	Mhon_010265
S	Mhon_010266
S	Mhon_010267
J	Mhon_010268
Z	Mhon_010269
E	Mhon_010270
K	Mhon_010273
H	Mhon_010274
H	Mhon_010275
T	Mhon_010276
P	Mhon_010277
T	Mhon_010280
T	Mhon_010281
H	Mhon_010282
H	Mhon_010283
T	Mhon_010289
U	Mhon_010289
J	Mhon_010290
T	Mhon_010294
T	Mhon_010297
J	Mhon_010300
T	Mhon_010301
U	Mhon_010301
S	Mhon_010309
P	Mhon_010312
S	Mhon_010313
L	Mhon_010314
J	Mhon_010315
T	Mhon_010318
F	Mhon_010320
I	Mhon_010328
I	Mhon_010329
S	Mhon_010332
S	Mhon_010334
U	Mhon_010339
D	Mhon_010340
T	Mhon_010341
J	Mhon_010342
S	Mhon_010344
J	Mhon_010345
T	Mhon_010348
G	Mhon_010350
T	Mhon_010351
T	Mhon_010352
V	Mhon_010354
S	Mhon_010355
K	Mhon_010356
G	Mhon_010357
G	Mhon_010358
A	Mhon_010362
T	Mhon_010363
T	Mhon_010365
S	Mhon_010366
J	Mhon_010367
O	Mhon_010371
I	Mhon_010374
S	Mhon_010381
E	Mhon_010383
B	Mhon_010384
D	Mhon_010384
L	Mhon_010384
T	Mhon_010384
B	Mhon_010387
D	Mhon_010387
L	Mhon_010387
T	Mhon_010387
K	Mhon_010389
B	Mhon_010398
D	Mhon_010398
L	Mhon_010398
T	Mhon_010398
E	Mhon_010399
U	Mhon_010402
G	Mhon_010403
S	Mhon_010404
O	Mhon_010405
E	Mhon_010411
K	Mhon_010414
C	Mhon_010421
U	Mhon_010426
Y	Mhon_010426
S	Mhon_010431
S	Mhon_010432
O	Mhon_010436
M	Mhon_010441
T	Mhon_010458
W	Mhon_010458
O	Mhon_010473
J	Mhon_010485
S	Mhon_010486
T	Mhon_010487
S	Mhon_010488
E	Mhon_010490
G	Mhon_010490
J	Mhon_010493
P	Mhon_010494
B	Mhon_010495
D	Mhon_010495
U	Mhon_010501
L	Mhon_010508
D	Mhon_010509
B	Mhon_010510
B	Mhon_010511
B	Mhon_010512
E	Mhon_010519
O	Mhon_010519
B	Mhon_010522
D	Mhon_010522
S	Mhon_010524
T	Mhon_010525
S	Mhon_010526
O	Mhon_010530
L	Mhon_010558
S	Mhon_010565
O	Mhon_010574
U	Mhon_010575
T	Mhon_010582
V	Mhon_010582
Z	Mhon_010587
L	Mhon_010597
S	Mhon_010601
K	Mhon_010617
O	Mhon_010618
Z	Mhon_010619
T	Mhon_010620
P	Mhon_010635
S	Mhon_010650
L	Mhon_010651
S	Mhon_010652
Z	Mhon_010653
K	Mhon_010656
K	Mhon_010657
T	Mhon_010658
T	Mhon_010659
O	Mhon_010667
O	Mhon_010670
O	Mhon_010675
T	Mhon_010676
T	Mhon_010678
L	Mhon_010682
T	Mhon_010686
T	Mhon_010687
S	Mhon_010697
S	Mhon_010705
T	Mhon_010713
S	Mhon_010716
F	Mhon_010717
P	Mhon_010719
T	Mhon_010719
D	Mhon_010723
T	Mhon_010723
U	Mhon_010723
Z	Mhon_010723
S	Mhon_010724
Q	Mhon_010730
L	Mhon_010731
L	Mhon_010732
L	Mhon_010734
S	Mhon_010735
S	Mhon_010736
S	Mhon_010737
O	Mhon_010751
S	Mhon_010752
E	Mhon_010753
S	Mhon_010767
T	Mhon_010769
V	Mhon_010769
D	Mhon_010775
E	Mhon_010787
I	Mhon_010789
A	Mhon_010791
I	Mhon_010793
H	Mhon_010794
L	Mhon_010795
C	Mhon_010798
L	Mhon_010800
S	Mhon_010805
K	Mhon_010806
J	Mhon_010810
Q	Mhon_010815
Q	Mhon_010816
O	Mhon_010817
S	Mhon_010822
O	Mhon_010824
O	Mhon_010826
K	Mhon_010832
K	Mhon_010833
S	Mhon_010834
D	Mhon_010835
T	Mhon_010835
E	Mhon_010836
T	Mhon_010838
O	Mhon_010846
A	Mhon_010849
G	Mhon_010850
U	Mhon_010851
S	Mhon_010853
T	Mhon_010853
T	Mhon_010864
T	Mhon_010865
P	Mhon_010871
T	Mhon_010871
S	Mhon_010873
P	Mhon_010874
T	Mhon_010874
N	Mhon_010875
S	Mhon_010876
A	Mhon_010877
P	Mhon_010878
I	Mhon_010879
J	Mhon_010880
D	Mhon_010882
Z	Mhon_010882
E	Mhon_010883
S	Mhon_010887
S	Mhon_010888
K	Mhon_010894
Z	Mhon_010895
G	Mhon_010899
G	Mhon_010900
P	Mhon_010902
P	Mhon_010908
P	Mhon_010910
P	Mhon_010911
O	Mhon_010916
S	Mhon_010929
A	Mhon_010931
A	Mhon_010932
L	Mhon_010935
O	Mhon_010936
E	Mhon_010937
J	Mhon_010938
A	Mhon_010943
I	Mhon_010944
T	Mhon_010945
S	Mhon_010948
S	Mhon_010949
S	Mhon_010950
O	Mhon_010953
A	Mhon_010954
S	Mhon_010955
J	Mhon_010956
C	Mhon_010957
O	Mhon_010958
T	Mhon_010958
S	Mhon_010973
S	Mhon_010975
T	Mhon_010976
U	Mhon_010977
O	Mhon_010980
D	Mhon_010981
U	Mhon_010981
V	Mhon_010982
Q	Mhon_010984
S	Mhon_010985
L	Mhon_010988
U	Mhon_010989
T	Mhon_010990
S	Mhon_010991
O	Mhon_010992
A	Mhon_010993
J	Mhon_010994
S	Mhon_010995
T	Mhon_010996
S	Mhon_010998
S	Mhon_010999
U	Mhon_011002
U	Mhon_011003
U	Mhon_011005
S	Mhon_011006
S	Mhon_011007
O	Mhon_011009
S	Mhon_011011
B	Mhon_011012
K	Mhon_011012
U	Mhon_011014
O	Mhon_011015
S	Mhon_011016
K	Mhon_011017
Z	Mhon_011018
K	Mhon_011020
K	Mhon_011024
A	Mhon_011025
S	Mhon_011026
O	Mhon_011027
T	Mhon_011028
C	Mhon_011031
V	Mhon_011034
O	Mhon_011035
S	Mhon_011036
O	Mhon_011039
I	Mhon_011040
B	Mhon_011043
A	Mhon_011044
S	Mhon_011045
B	Mhon_011046
U	Mhon_011047
S	Mhon_011049
S	Mhon_011050
S	Mhon_011052
H	Mhon_011054
A	Mhon_011055
O	Mhon_011056
C	Mhon_011057
S	Mhon_011058
T	Mhon_011059
N	Mhon_011061
S	Mhon_011062
K	Mhon_011067
G	Mhon_011069
L	Mhon_011072
T	Mhon_011073
T	Mhon_011075
J	Mhon_011076
V	Mhon_011077
T	Mhon_011080
S	Mhon_011081
T	Mhon_011083
T	Mhon_011086
B	Mhon_011089
K	Mhon_011089
H	Mhon_011090
O	Mhon_011091
B	Mhon_011092
L	Mhon_011093
S	Mhon_011095
S	Mhon_011096
P	Mhon_011097
T	Mhon_011097
T	Mhon_011098
S	Mhon_011102
O	Mhon_011108
S	Mhon_011112
T	Mhon_011113
S	Mhon_011114
S	Mhon_011115
I	Mhon_011118
E	Mhon_011119
K	Mhon_011121
S	Mhon_011122
S	Mhon_011125
E	Mhon_011126
K	Mhon_011142
T	Mhon_011143
S	Mhon_011149
T	Mhon_011150
U	Mhon_011151
K	Mhon_011152
J	Mhon_011154
A	Mhon_011157
J	Mhon_011158
T	Mhon_011159
H	Mhon_011160
S	Mhon_011164
A	Mhon_011165
S	Mhon_011168
S	Mhon_011170
T	Mhon_011177
T	Mhon_011179
Z	Mhon_011180
S	Mhon_011181
D	Mhon_011182
P	Mhon_011184
T	Mhon_011184
U	Mhon_011185
U	Mhon_011187
U	Mhon_011188
P	Mhon_011190
P	Mhon_011191
I	Mhon_011192
O	Mhon_011192
T	Mhon_011192
U	Mhon_011192
V	Mhon_011192
T	Mhon_011194
O	Mhon_011195
S	Mhon_011196
T	Mhon_011198
Q	Mhon_011199
O	Mhon_011200
T	Mhon_011200
Q	Mhon_011202
A	Mhon_011203
E	Mhon_011205
T	Mhon_011206
I	Mhon_011207
H	Mhon_011208
S	Mhon_011211
T	Mhon_011212
U	Mhon_011212
U	Mhon_011213
O	Mhon_011215
L	Mhon_011216
T	Mhon_011217
L	Mhon_011218
G	Mhon_011219
G	Mhon_011220
J	Mhon_011221
S	Mhon_011222
S	Mhon_011223
O	Mhon_011224
O	Mhon_011225
O	Mhon_011226
S	Mhon_011227
S	Mhon_011229
B	Mhon_011230
T	Mhon_011230
Z	Mhon_011232
O	Mhon_011233
S	Mhon_011234
G	Mhon_011242
U	Mhon_011244
T	Mhon_011246
C	Mhon_011248
U	Mhon_011249
K	Mhon_011250
I	Mhon_011255
O	Mhon_011255
T	Mhon_011255
T	Mhon_011258
J	Mhon_011259
I	Mhon_011260
T	Mhon_011263
T	Mhon_011267
T	Mhon_011268
O	Mhon_011269
U	Mhon_011271
Z	Mhon_011273
F	Mhon_011282
S	Mhon_011283
T	Mhon_011284
U	Mhon_011285
U	Mhon_011286
Y	Mhon_011286
U	Mhon_011287
Y	Mhon_011287
G	Mhon_011289
M	Mhon_011290
D	Mhon_011291
O	Mhon_011291
U	Mhon_011292
K	Mhon_011294
S	Mhon_011295
Q	Mhon_011296
S	Mhon_011298
S	Mhon_011300
S	Mhon_011301
S	Mhon_011302
S	Mhon_011304
H	Mhon_011305
Z	Mhon_011307
J	Mhon_011312
O	Mhon_011313
S	Mhon_011315
S	Mhon_011316
O	Mhon_011317
S	Mhon_011323
T	Mhon_011325
S	Mhon_011326
C	Mhon_011327
F	Mhon_011328
F	Mhon_011329
S	Mhon_011330
S	Mhon_011333
Z	Mhon_011334
Z	Mhon_011335
Z	Mhon_011336
Z	Mhon_011337
S	Mhon_011341
N	Mhon_011342
N	Mhon_011343
N	Mhon_011344
N	Mhon_011345
N	Mhon_011346
J	Mhon_011347
N	Mhon_011348
I	Mhon_011349
A	Mhon_011350
S	Mhon_011355
L	Mhon_011356
K	Mhon_011358
J	Mhon_011359
E	Mhon_011362
I	Mhon_011362
B	Mhon_011363
K	Mhon_011363
S	Mhon_011364
A	Mhon_011365
S	Mhon_011366
T	Mhon_011367
S	Mhon_011368
A	Mhon_011369
U	Mhon_011370
S	Mhon_011371
S	Mhon_011372
T	Mhon_011377
K	Mhon_011381
K	Mhon_011382
U	Mhon_011388
I	Mhon_011391
F	Mhon_011392
G	Mhon_011392
T	Mhon_011393
L	Mhon_011395
K	Mhon_011398
O	Mhon_011399
K	Mhon_011400
K	Mhon_011401
S	Mhon_011404
S	Mhon_011405
W	Mhon_011407
J	Mhon_011412
E	Mhon_011413
T	Mhon_011414
Z	Mhon_011414
T	Mhon_011415
Z	Mhon_011415
O	Mhon_011417
K	Mhon_011419
S	Mhon_011420
P	Mhon_011422
P	Mhon_011423
T	Mhon_011424
L	Mhon_011426
K	Mhon_011429
U	Mhon_011431
K	Mhon_011432
S	Mhon_011433
Z	Mhon_011436
S	Mhon_011437
E	Mhon_011452
T	Mhon_011452
U	Mhon_011453
Y	Mhon_011453
T	Mhon_011455
T	Mhon_011456
C	Mhon_011457
T	Mhon_011458
O	Mhon_011460
E	Mhon_011464
O	Mhon_011465
C	Mhon_011467
P	Mhon_011468
T	Mhon_011468
T	Mhon_011471
K	Mhon_011479
T	Mhon_011482
U	Mhon_011483
Y	Mhon_011483
K	Mhon_011491
T	Mhon_011493
T	Mhon_011494
S	Mhon_011497
K	Mhon_011498
S	Mhon_011499
F	Mhon_011502
S	Mhon_011503
S	Mhon_011505
K	Mhon_011506
T	Mhon_011507
D	Mhon_011509
S	Mhon_011510
O	Mhon_011513
U	Mhon_011515
S	Mhon_011516
S	Mhon_011517
K	Mhon_011518
E	Mhon_011519
T	Mhon_011522
W	Mhon_011523
T	Mhon_011526
A	Mhon_011528
F	Mhon_011532
I	Mhon_011533
D	Mhon_011534
L	Mhon_011534
A	Mhon_011535
J	Mhon_011535
P	Mhon_011536
T	Mhon_011536
P	Mhon_011537
T	Mhon_011537
T	Mhon_011538
S	Mhon_011539
O	Mhon_011540
S	Mhon_011541
Z	Mhon_011542
K	Mhon_011543
O	Mhon_011547
T	Mhon_011555
S	Mhon_011560
S	Mhon_011561
O	Mhon_011562
O	Mhon_011563
O	Mhon_011565
O	Mhon_011567
I	Mhon_011570
S	Mhon_011571
A	Mhon_011573
S	Mhon_011574
I	Mhon_011576
T	Mhon_011577
O	Mhon_011578
J	Mhon_011581
O	Mhon_011582
G	Mhon_011583
O	Mhon_011583
U	Mhon_011583
F	Mhon_011584
K	Mhon_011585
L	Mhon_011586
A	Mhon_011586
J	Mhon_011586
A	Mhon_011587
J	Mhon_011587
L	Mhon_011588
L	Mhon_011589
T	Mhon_011591
S	Mhon_011592
O	Mhon_011593
S	Mhon_011594
S	Mhon_011600
T	Mhon_011607
T	Mhon_011608
T	Mhon_011609
O	Mhon_011611
P	Mhon_011611
T	Mhon_011611
V	Mhon_011611
W	Mhon_011611
A	Mhon_011615
T	Mhon_011617
S	Mhon_011620
T	Mhon_011622
O	Mhon_011631
S	Mhon_011637
T	Mhon_011644
T	Mhon_011645
C	Mhon_011646
K	Mhon_011647
C	Mhon_011650
S	Mhon_011653
C	Mhon_011654
S	Mhon_011659
G	Mhon_011660
T	Mhon_011661
S	Mhon_011673
T	Mhon_011674
A	Mhon_011676
E	Mhon_011677
G	Mhon_011677
P	Mhon_011677
E	Mhon_011678
E	Mhon_011679
I	Mhon_011680
Q	Mhon_011680
P	Mhon_011682
T	Mhon_011682
P	Mhon_011683
T	Mhon_011683
U	Mhon_011685
U	Mhon_011687
O	Mhon_011689
O	Mhon_011690
O	Mhon_011692
O	Mhon_011693
O	Mhon_011694
T	Mhon_011696
S	Mhon_011697
E	Mhon_011698
T	Mhon_011706
S	Mhon_011712
T	Mhon_011714
U	Mhon_011714
O	Mhon_011715
P	Mhon_011716
T	Mhon_011716
O	Mhon_011718
O	Mhon_011719
D	Mhon_011720
T	Mhon_011720
S	Mhon_011722
F	Mhon_011723
S	Mhon_011725
O	Mhon_011727
O	Mhon_011728
O	Mhon_011731
A	Mhon_011733
B	Mhon_011734
O	Mhon_011735
Q	Mhon_011736
Q	Mhon_011737
B	Mhon_011738
I	Mhon_011739
I	Mhon_011740
S	Mhon_011741
J	Mhon_011744
F	Mhon_011745
U	Mhon_011746
S	Mhon_011750
O	Mhon_011756
K	Mhon_011757
L	Mhon_011758
G	Mhon_011759
S	Mhon_011760
K	Mhon_011762
C	Mhon_011763
E	Mhon_011764
K	Mhon_011765
C	Mhon_011766
K	Mhon_011767
E	Mhon_011771
T	Mhon_011776
S	Mhon_011777
W	Mhon_011779
W	Mhon_011781
W	Mhon_011782
S	Mhon_011788
L	Mhon_011789
J	Mhon_011792
S	Mhon_011794
T	Mhon_011795
U	Mhon_011796
S	Mhon_011797
T	Mhon_011799
I	Mhon_011800
O	Mhon_011801
J	Mhon_011802
O	Mhon_011803
U	Mhon_011807
J	Mhon_011808
O	Mhon_011809
T	Mhon_011810
I	Mhon_011813
S	Mhon_011820
T	Mhon_011826
U	Mhon_011827
J	Mhon_011828
A	Mhon_011830
S	Mhon_011831
O	Mhon_011832
S	Mhon_011833
Q	Mhon_011834
T	Mhon_011835
S	Mhon_011843
S	Mhon_011844
S	Mhon_011845
L	Mhon_011846
E	Mhon_011852
O	Mhon_011853
K	Mhon_011855
Q	Mhon_011856
T	Mhon_011857
W	Mhon_011858
T	Mhon_011859
S	Mhon_011860
U	Mhon_011861
N	Mhon_011862
G	Mhon_011863
T	Mhon_011864
K	Mhon_011865
S	Mhon_011866
L	Mhon_011867
S	Mhon_011869
K	Mhon_011873
T	Mhon_011876
S	Mhon_011877
G	Mhon_011878
G	Mhon_011879
G	Mhon_011880
G	Mhon_011881
G	Mhon_011882
G	Mhon_011883
G	Mhon_011884
G	Mhon_011885
G	Mhon_011888
S	Mhon_011890
J	Mhon_011894
T	Mhon_011901
S	Mhon_011902
S	Mhon_011903
S	Mhon_011911
G	Mhon_011913
G	Mhon_011914
T	Mhon_011932
V	Mhon_011932
Q	Mhon_011933
J	Mhon_011934
O	Mhon_011935
S	Mhon_011937
O	Mhon_011938
T	Mhon_011939
T	Mhon_011942
T	Mhon_011943
G	Mhon_011945
G	Mhon_011946
G	Mhon_011947
O	Mhon_011952
K	Mhon_011958
T	Mhon_011959
T	Mhon_011960
T	Mhon_011961
Z	Mhon_011962
L	Mhon_011963
M	Mhon_011965
S	Mhon_011966
P	Mhon_011967
T	Mhon_011970
T	Mhon_011971
A	Mhon_011972
