Genes	Description	Preferred_name
Mhon_010582	mannose binding	-
Mhon_010587	Belongs to the WD repeat coronin family	-
Mhon_010597	Si ch1073-385f13.3	-
Mhon_010601	Missing oocyte, meiosis regulator, homolog (Drosophila)	mio
Mhon_010610	-	-
Mhon_010617	Stimulated by retinoic acid gene 6 protein homolog	-
Mhon_010618	homolog subfamily A member 3	l(2)tid
Mhon_010619	Belongs to the WD repeat coronin family	-
Mhon_010620	neurotransmitter:sodium symporter activity	-
Mhon_010635	Solute carrier family 4, sodium bicarbonate cotransporter, member 7	-
Mhon_010650	smooth muscle cell migration	-
Mhon_010651	Helicase conserved C-terminal domain	-
Mhon_010652	Si dkey-14d8.7	-
Mhon_010653	regulation of cellular component size	kst
Mhon_010656	ERCC excision repair 3, TFIIH core complex helicase subunit	hay
Mhon_010657	ERCC excision repair 3, TFIIH core complex helicase subunit	hay
Mhon_010658	guanylate cyclase activity	-
Mhon_010659	Guanylyl cyclase	-
Mhon_010667	folate import across plasma membrane	-
Mhon_010670	zinc ion binding	-
Mhon_010671	-	-
Mhon_010675	ubiquitin activating enzyme activity	-
Mhon_010676	It is involved in the biological process described with protein phosphorylation	unc-22
Mhon_010678	It is involved in the biological process described with protein phosphorylation	unc-22
Mhon_010682	DNA-dependent ATPase and 5'-3' DNA helicase required for the maintenance of both mitochondrial and nuclear genome stability	PIF1
Mhon_010686	It is involved in the biological process described with protein phosphorylation	unc-22
Mhon_010687	It is involved in the biological process described with protein phosphorylation	unc-22
Mhon_010688	-	-
Mhon_010697	Domain of unknown function (DUF1768)	-
Mhon_010705	galactosylceramide catabolic process	-
Mhon_010713	negative regulation of axon extension involved in regeneration	-
Mhon_010716	Belongs to the histidine acid phosphatase family	-
Mhon_010717	sulfate adenylyltransferase activity	-
Mhon_010719	Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. This channel gives rise to T-type calcium currents. T-type calcium channels belong to the low-voltage activated (LVA) group and are strongly blocked by nickel and mibefradil. A particularity of this type of channels is an opening at quite negative potentials, and a voltage- dependent inactivation. T-type channels serve pacemaking functions in both central neurons and cardiac nodal cells and support calcium signaling in secretory cells and vascular smooth muscle. They may also be involved in the modulation of firing patterns of neurons which is important for information processing as well as in cell growth processes	cca-1
Mhon_010719	Ion channel activity. It is involved in the biological process described with ion transport	cca-1
Mhon_010723	phosphatidylinositol binding	-
Mhon_010724	thiol-dependent ubiquitin-specific protease activity	-
Mhon_010730	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily	Fdh
Mhon_010731	NFX1-type zinc finger-containing protein	-
Mhon_010732	NFX1-type zinc finger-containing protein 1	-
Mhon_010734	zinc ion binding	-
Mhon_010735	SET domain containing 9	-
Mhon_010736	Domain of unknown function (DUF389)	-
Mhon_010737	Domain of unknown function (DUF389)	-
Mhon_010751	unfolded protein binding	DnaJ-1
Mhon_010752	F-box WD repeat-containing protein	-
Mhon_010753	Aminotransferase class-III	-
Mhon_010767	YqaJ-like viral recombinase domain	-
Mhon_010769	biological adhesion	-
Mhon_010775	peptidase activity	-
Mhon_010787	Indoleamine 2,3-dioxygenase	-
Mhon_010789	choline transmembrane transporter activity	-
Mhon_010791	spliceosomal tri-snRNP complex assembly	-
Mhon_010793	choline transmembrane transporter activity	-
Mhon_010794	COBW domain-containing protein	-
Mhon_010795	proteasome regulatory particle assembly	-
Mhon_010798	3-oxoacid CoA-transferase activity	oxct1
Mhon_010800	cortical actin cytoskeleton organization	frm-1
Mhon_010805	Ankyrin repeats (many copies)	-
Mhon_010806	Transcription elongation factor Elf1 like	-
Mhon_010810	Peter pan homolog (Drosophila)	ppan
Mhon_010815	cytochrome P450	-
Mhon_010816	cytochrome P450	-
Mhon_010817	serine-type endopeptidase activity. It is involved in the biological process described with proteolysis	-
Mhon_010822	Group XII secretory phospholipase A2 precursor (PLA2G12)	-
Mhon_010824	Noggin	-
Mhon_010826	Noggin	-
Mhon_010832	homeobox protein unc-4 homolog	unc-4
Mhon_010833	Homeobox protein unc-4 homolog	unc-4
Mhon_010834	Protein of unknown function (DUF410)	-
Mhon_010835	Cyclin-dependent kinase 2-associated protein	-
Mhon_010836	Diphthamide biosynthesis	-
Mhon_010838	cyclin-dependent kinase-like	-
Mhon_010846	Belongs to the peptidase M12A family	-
Mhon_010849	ubiquitin-protein transferase activity	-
Mhon_010850	alpha-(1->3)-fucosyltransferase activity	-
Mhon_010851	cargo loading into COPII-coated vesicle	-
Mhon_010853	Late endosomal lysosomal adaptor, MAPK and MTOR activator 3	-
Mhon_010853	late endosomal lysosomal adaptor, MAPK and MTOR activator 3	-
Mhon_010864	Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1	Rack1
Mhon_010865	Serine threonine-protein phosphatase 2A catalytic subunit	mts
Mhon_010871	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family	-
Mhon_010873	Impact. Source PGD	-
Mhon_010874	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family	-
Mhon_010875	tctex1 domain-containing protein	-
Mhon_010876	protein-disulfide reductase (glutathione) activity	-
Mhon_010877	RNA helicase activity	SKIV2L2
Mhon_010878	HCO3- transporter family	abts-3
Mhon_010879	fatty acid elongase activity	-
Mhon_010880	translation initiation factor activity	eif-3.I
Mhon_010882	retinal rod cell development	-
Mhon_010883	detection of mechanical stimulus	-
Mhon_010887	motile cilium assembly	-
Mhon_010888	Spermatogenesis-associated protein 6	-
Mhon_010894	DNA- binding	-
Mhon_010895	WD repeat domain 78	-
Mhon_010899	Beta-1,3-galactosyltransferase	-
Mhon_010900	Galactosyltransferase	-
Mhon_010902	regulation of AMPA receptor activity	-
Mhon_010908	inward rectifier potassium channel activity	irk-2
Mhon_010910	Inward rectifier potassium channel activity. It is involved in the biological process described with potassium ion transport	irk-2
Mhon_010911	inward rectifier potassium channel activity	irk-2
Mhon_010916	glycerol ether metabolic process	TrxT
Mhon_010925	-	-
Mhon_010929	mitotic spindle assembly	-
Mhon_010931	mRNA CDS binding	sm
Mhon_010932	RNA secondary structure unwinding	-
Mhon_010935	single-stranded DNA 3'-5' exodeoxyribonuclease activity	-
Mhon_010936	aminopeptidase activity	-
Mhon_010937	L-cystine transmembrane transporter activity	-
Mhon_010938	Mitochondrial ribosomal protein L55	-
Mhon_010943	protein polyubiquitination	-
Mhon_010944	peroxisomal long-chain fatty acid import	-
Mhon_010945	[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity	Prkaa2
Mhon_010948	bis(5'-adenosyl)-triphosphatase activity	-
Mhon_010949	bis(5'-adenosyl)-triphosphatase activity	-
Mhon_010950	bis(5'-adenosyl)-triphosphatase activity	-
Mhon_010953	zinc ion binding	-
Mhon_010954	snoRNA binding	TBL3
Mhon_010955	peptidase activity	-
Mhon_010956	tRNA dihydrouridine synthase activity	-
Mhon_010957	V-type proton ATPase 116 kDa subunit a isoform	unc-32
Mhon_010957	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase	unc-32
Mhon_010958	Cop9 signalosome complex subunit	-
Mhon_010973	cysteine-rich secretory protein	-
Mhon_010975	GTP binding. It is involved in the biological process described with	-
Mhon_010976	Cyclic nucleotide-monophosphate binding domain	-
Mhon_010976	-	-
Mhon_010977	calcium-dependent phospholipid binding	-
Mhon_010980	SUMO conjugating enzyme activity	lwr
Mhon_010981	RAD50 interactor 1	-
Mhon_010982	cytolysis	-
Mhon_010984	L-xylulose reductase (NAD+) activity	-
Mhon_010985	ENTH domain	-
Mhon_010986	-	-
Mhon_010988	Helicase with zinc finger	-
Mhon_010989	signal recognition particle binding	Srp68
Mhon_010990	tubulin binding	-
Mhon_010991	CDGSH iron-sulfur domain-containing protein	-
Mhon_010992	protein K48-linked ubiquitination	-
Mhon_010993	Necessary for the splicing of pre-mRNA	U2af50
Mhon_010994	laminin receptor activity	rps-0
Mhon_010995	protein-N-terminal asparagine amidohydrolase activity	-
Mhon_010996	protein kinase, cGMP-dependent, type I	-
Mhon_010996	cGMP-dependent protein kinase	-
Mhon_010998	Dpy-30 motif	-
Mhon_010999	Domain of unknown function (DUF4562)	-
Mhon_011002	annexin A6	-
Mhon_011003	annexin A6	-
Mhon_011005	annexin A6	-
Mhon_011006	hedgehog receptor activity	-
Mhon_011007	regulation of heme biosynthetic process	-
Mhon_011009	ubiquitin-protein transferase activity	-
Mhon_011011	positive regulation of aminoacyl-tRNA ligase activity	-
Mhon_011012	methylated histone binding	nurf-1
Mhon_011014	vacuolar transport	-
Mhon_011015	Ubiquitin-like protein involved in autophagic vesicle formation	-
Mhon_011016	Cilia and flagella associated protein 52	-
Mhon_011017	DNA-binding transcription factor activity, RNA polymerase II-specific	-
Mhon_011018	cilium movement involved in cell motility	-
Mhon_011020	scaffold attachment factor	-
Mhon_011024	RNA polymerase II regulatory region DNA binding	-
Mhon_011025	regulation of RNA splicing	-
Mhon_011026	Ion channel regulatory protein UNC-93	-
Mhon_011027	post-chaperonin tubulin folding pathway	-
Mhon_011028	transducer of ERBB2	-
Mhon_011031	Cell division cycle	-
Mhon_011034	mitochondrial outer membrane permeabilization	Miro
Mhon_011035	post-chaperonin tubulin folding pathway	-
Mhon_011036	Golgi casein kinase, C-terminal, Fam20	-
Mhon_011039	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	-
Mhon_011040	enoyl-CoA delta isomerase 1	-
Mhon_011043	regulation of nucleus size	-
Mhon_011044	Leucine-rich repeat-containing protein C10orf11 homolog	-
Mhon_011045	Secreted protein acidic and rich in cysteine Ca binding region	-
Mhon_011046	histone acetyltransferase activity (H4-K5 specific)	MOF
Mhon_011047	Ankyrin repeat	-
Mhon_011049	Ras family	-
Mhon_011050	Ras family	-
Mhon_011052	Ras family	-
Mhon_011054	protoheme IX farnesyltransferase activity	-
Mhon_011055	tRNA 5'-leader removal	-
Mhon_011056	methionine-R-sulfoxide reductase activity	-
Mhon_011057	Solute carrier family 25, member 38	-
Mhon_011058	FGFR1OP N-terminal like	-
Mhon_011059	G-protein coupled receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	ador-1
Mhon_011061	nuclear migration	Dctn4
Mhon_011062	Catalytic LigB subunit of aromatic ring-opening dioxygenase	-
Mhon_011063	-	-
Mhon_011064	-	-
Mhon_011067	response to diterpene	Rel
Mhon_011069	Chondroitin sulfate N-acetylgalactosaminyltransferase	-
Mhon_011071	-	-
Mhon_011072	DNA repair	-
Mhon_011073	MAP kinase kinase activity	-
Mhon_011075	poly(ADP-ribose) glycohydrolase activity	-
Mhon_011076	structural constituent of ribosome	RpS24
Mhon_011077	vesicle-mediated transport	-
Mhon_011080	3-phosphoinositide-dependent protein kinase activity	-
Mhon_011081	BTB POZ domain-containing protein KCTD5	-
Mhon_011083	protein localization to Golgi apparatus	-
Mhon_011086	kinase 1	Nak
Mhon_011086	Kinase-like	Nak
Mhon_011089	Zinc ion binding	ash2
Mhon_011090	Belongs to the FPP GGPP synthase family	-
Mhon_011091	polysome binding	unk
Mhon_011092	Histone H3	-
Mhon_011093	Introduces a single-strand break via transesterification at a target site in duplex DNA. Releases the supercoiling and torsional tension of DNA introduced during the DNA replication and transcription by transiently cleaving and rejoining one strand of the DNA duplex. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand	-
Mhon_011095	Chibby homolog 1	-
Mhon_011096	ion transport	-
Mhon_011097	Ankyrin repeat	-
Mhon_011098	Rab GTPase activator activity. It is involved in the biological process described with regulation of Rab GTPase activity	sgsm3
Mhon_011102	obsolete signal transducer activity	GPRNNA1
Mhon_011108	Ubiquitin homologues	Ubfd1
Mhon_011112	Neuropeptide Y receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPRNPY4
Mhon_011113	Serpentine type 7TM GPCR chemoreceptor Srsx	GPRTAK2
Mhon_011114	Neuropeptide Y receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPRNPY4
Mhon_011115	Neuropeptide Y receptor activity. It is involved in the biological process described with G-protein coupled receptor signaling pathway	GPRNPY4
Mhon_011118	positive regulation of Notch signaling pathway	tsp-12
Mhon_011119	Belongs to the Glu Leu Phe Val dehydrogenases family	Gdh
Mhon_011121	CCR4-NOT transcription complex subunit 6-like	twin
Mhon_011122	Transmembrane protein family 72	-
Mhon_011125	Poly ADP-ribose polymerase 12-like	-
Mhon_011126	U2 snRNA binding	-
Mhon_011142	Leukocyte receptor cluster	hpo-10
Mhon_011143	Camp-dependent protein kinase type	Pka-R1
Mhon_011149	Minor histocompatibility antigen H13	imp-2
Mhon_011150	Hydrolase activity	Aps
Mhon_011151	ADP-ribosylation factor-related protein	Arfrp1
Mhon_011152	Forkhead box	-
Mhon_011154	tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase	-
Mhon_011157	pri-miRNA transcription by RNA polymerase II	ddx5
Mhon_011158	translation initiation factor activity	eif-3.L
Mhon_011159	ubiquitin-dependent ERAD pathway	-
Mhon_011160	methionine adenosyltransferase activity	-
Mhon_011164	F-box and leucine-rich repeat protein 15	-
Mhon_011165	Zinc finger, GRF-type containing 1	-
Mhon_011168	Serpentine type 7TM GPCR chemoreceptor Srx	-
Mhon_011170	TNF receptor-associated factor	-
Mhon_011172	-	-
Mhon_011177	Broad-Complex, Tramtrack and Bric a brac	-
Mhon_011179	EF-hand domain pair	-
Mhon_011180	spliceosomal complex assembly	-
Mhon_011181	Uncharacterised protein family UPF0561	-
Mhon_011182	piRNA binding	Ago3
Mhon_011184	metanephric cortical collecting duct development	Pkd2
Mhon_011185	Belongs to the small GTPase superfamily. Arf family	-
Mhon_011187	Belongs to the small GTPase superfamily. Arf family	-
Mhon_011188	Belongs to the small GTPase superfamily. Arf family	-
Mhon_011190	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family	-
Mhon_011191	propionate transmembrane transporter activity	-
Mhon_011192	negative regulation of amyloid-beta clearance	-
Mhon_011194	positive regulation of MDA-5 signaling pathway	mask
Mhon_011195	Glutathione S-transferase, C-terminal domain	GstD1
Mhon_011196	Coiled-coil domain-containing protein	ccdc-47
Mhon_011198	GTPase-activator protein for Rho-like GTPases	-
Mhon_011199	Alcohol dehydrogenase GroES-like domain	-
Mhon_011200	Calpain-like thiol protease family.	-
Mhon_011202	heme binding	-
Mhon_011203	pri-miRNA transcription by RNA polymerase II	ddx5
Mhon_011205	glycine biosynthetic process from serine	mel-32
Mhon_011206	protein serine/threonine kinase activity	-
Mhon_011207	Catalyzes the first and rate-limiting reaction of the four that constitute the long-chain fatty acids elongation cycle. This endoplasmic reticulum-bound enzymatic process, allows the addition of 2 carbons to the chain of long- and very long-chain fatty acids VLCFAs per cycle. Condensing enzyme that elongates fatty acids with 12, 14 and 16 carbons with higher activity toward C16 0 acyl-CoAs. Catalyzes the synthesis of unsaturated C16 long chain fatty acids and, to a lesser extent, C18 0 and those with low desaturation degree. May participate to the production of saturated and monounsaturated VLCFAs of different chain lengths that are involved in multiple biological processes as precursors of membrane lipids and lipid mediators	-
Mhon_011208	thioredoxin domain containing 15	-
Mhon_011211	UPF0585 protein C16orf13 homolog	-
Mhon_011212	Involved in intracellular signal transduction mediated by cytokines and growth factors. When associated with STAM, it suppresses DNA signaling upon stimulation by IL-2 and GM-CSF. Could be a direct effector of PI3-kinase in vesicular pathway via early endosomes and may regulate trafficking to early and late endosomes by recruiting clathrin. May concentrate ubiquitinated receptors within clathrin-coated regions. Involved in down- regulation of receptor tyrosine kinase via multivesicular body (MVBs) when complexed with STAM (ESCRT-0 complex). The ESCRT-0 complex binds ubiquitin and acts as sorting machinery that recognizes ubiquitinated receptors and transfers them to further sequential lysosomal sorting trafficking processes. May contribute to the efficient recruitment of SMADs to the activin receptor complex. Involved in receptor recycling via its association with the CART complex, a multiprotein complex required for efficient transferrin receptor recycling but not for EGFR degradation	Hrs
Mhon_011213	ADP-ribosylation factor-like	-
Mhon_011215	Belongs to the peptidase C19 family	-
Mhon_011216	methylated-DNA-[protein]-cysteine S-methyltransferase activity	-
Mhon_011217	Serine threonine-protein phosphatase	-
Mhon_011218	somatic hypermutation of immunoglobulin genes	-
Mhon_011219	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity	-
Mhon_011220	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity	-
Mhon_011221	GTPase activity	eftu-2
Mhon_011222	Transmembrane protein 26	-
Mhon_011223	Transmembrane protein 26	-
Mhon_011224	cysteine-type endopeptidase activity	-
Mhon_011225	cysteine-type endopeptidase activity	-
Mhon_011226	cysteine-type endopeptidase activity	-
Mhon_011227	Transmembrane protein 26	-
Mhon_011229	Factor VIII intron 22	-
Mhon_011230	Cupin-like domain	-
Mhon_011232	plus-end directed microfilament motor activity	Myo15
Mhon_011233	Transferase activity, transferring glycosyl groups	-
Mhon_011234	mitochondrial	-
Mhon_011237	-	-
Mhon_011242	Chitin binding Peritrophin-A domain	-
Mhon_011244	clathrin binding	-
Mhon_011246	Dynein regulatory complex subunit 3	-
Mhon_011248	proton-transporting ATP synthase complex assembly	-
Mhon_011249	Vacuolar import and degradation protein	-
Mhon_011250	metal ion binding	-
Mhon_011255	retrograde trans-synaptic signaling by lipid	-
Mhon_011258	Belongs to the G-protein coupled receptor 1 family	GPRTAK2
Mhon_011259	BMS1-like, ribosome assembly protein (yeast)	bms1
Mhon_011260	hydroxyacyl-Coenzyme A dehydrogenase	-
Mhon_011263	neuropeptide receptor activity	GPRNNA7
Mhon_011267	Serpentine type 7TM GPCR chemoreceptor Srx	GPRNNA7
Mhon_011268	Serpentine type 7TM GPCR chemoreceptor Srx	GPRNNA7
Mhon_011269	Glutathione peroxidase	-
Mhon_011271	COPII coat complex component	-
Mhon_011273	motor activity	unc-54
Mhon_011282	Guanylate kinase	magu-4
Mhon_011283	gamma-glutamyl carboxylase activity	GC
Mhon_011284	N-glycan processing to lysosome	-
Mhon_011285	Translocase of outer mitochondrial membrane 22 homolog (yeast)	-
Mhon_011286	Exportin 6	Exp6
Mhon_011287	Exportin 6	Exp6
Mhon_011289	UDP-GlcNAc betaGal beta-1,3-N-acetylglucosaminyltransferase	-
Mhon_011290	galactosyltransferase activity	-
Mhon_011291	Cell division cycle	fzy
Mhon_011292	Golgi vesicle transport	-
Mhon_011294	It is involved in the biological process described with regulation of transcription, DNA-templated	-
Mhon_011295	Centrosomal protein	-
Mhon_011296	3-hydroxybutyrate dehydrogenase activity	-
Mhon_011298	GTP binding. It is involved in the biological process described with	-
Mhon_011300	GTP binding. It is involved in the biological process described with	-
Mhon_011301	GTP binding. It is involved in the biological process described with	-
Mhon_011302	Ras of Complex, Roc, domain of DAPkinase	-
Mhon_011304	GTP binding. It is involved in the biological process described with	-
Mhon_011305	Pantothenate kinase 4	-
Mhon_011307	structural constituent of cytoskeleton	-
Mhon_011312	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	-
Mhon_011313	F-box domain	-
Mhon_011315	GCN5-related N-acetyl-transferase	-
Mhon_011316	GCN5-related N-acetyl-transferase	-
Mhon_011317	Yip1 domain family member 1	-
Mhon_011323	YqaJ-like viral recombinase domain	-
Mhon_011325	synthase	-
Mhon_011326	Domain of unknown function (DUF4457)	-
Mhon_011327	Cytochrome oxidase c subunit VIb	Cox6b1
Mhon_011328	inosine biosynthetic process	-
Mhon_011329	inosine biosynthetic process	-
Mhon_011330	growth arrest and	-
Mhon_011333	It is involved in the biological process described with	-
Mhon_011334	Actin	-
Mhon_011335	Actin	-
Mhon_011336	Belongs to the actin family	-
Mhon_011337	Belongs to the actin family	-
Mhon_011341	Zinc finger, C2H2 type	-
Mhon_011342	tctex1 domain-containing protein	-
Mhon_011343	tctex1 domain-containing protein	-
Mhon_011344	tctex1 domain-containing protein	-
Mhon_011345	tctex1 domain-containing protein	-
Mhon_011346	tctex1 domain-containing protein	-
Mhon_011347	ribosomal protein L13	mRpL13
Mhon_011348	Tctex-1 family	-
Mhon_011349	very-long-chain enoyl-CoA	-
Mhon_011350	Serrate RNA effector molecule	E01A2.2
Mhon_011354	-	-
Mhon_011355	Eukaryotic protein of unknown function (DUF829)	-
Mhon_011356	Polynucleotide kinase 3 phosphatase	-
Mhon_011358	V-myc avian myelocytomatosis viral oncogene neuroblastoma derived homolog	-
Mhon_011359	Catalyzes the transfer of a dimethylallyl group onto the adenine at position 37	-
Mhon_011362	Si ch211-198n5.11	-
Mhon_011363	histone H2A acetylation	DMAP1
Mhon_011364	Coiled-coil domain containing 17	-
Mhon_011365	Mago homolog B, exon junction complex core component	mago
Mhon_011366	RNA splicing	-
Mhon_011367	ATP binding. It is involved in the biological process described with protein phosphorylation	Nrk
Mhon_011368	P21-activated protein kinase-interacting protein	-
Mhon_011369	tRNA selenocysteine 1-associated protein 1	-
Mhon_011370	positive regulation of mitotic centrosome separation	ran-5
Mhon_011371	huntingtin interacting protein K	-
Mhon_011372	positive regulation of bicellular tight junction assembly	-
Mhon_011377	7 transmembrane receptor (rhodopsin family)	-
Mhon_011381	branchiomeric skeletal muscle development	-
Mhon_011382	helix loop helix domain	-
Mhon_011388	protein serine/threonine phosphatase inhibitor activity	NiPp1
Mhon_011391	Catalytic activity	wun
Mhon_011392	Histidine triad nucleotide binding protein 3	-
Mhon_011393	negative regulation of growth hormone receptor signaling pathway	-
Mhon_011395	protein localization to ciliary transition zone	-
Mhon_011398	SAM domain binding	-
Mhon_011399	protein-L-isoaspartate O-methyltransferase domain-containing protein 1	-
Mhon_011400	retinoic acid-responsive element binding	-
Mhon_011401	retinoic acid-responsive element binding	-
Mhon_011404	Tumor suppressing subtransferable candidate 1	-
Mhon_011405	regulation of kinetochore assembly	-
Mhon_011407	laminin subunit	-
Mhon_011412	GTP metabolic process	-
Mhon_011413	(S)-3-amino-2-methylpropionate transaminase activity	-
Mhon_011414	muscle alpha-actinin binding	alp-1
Mhon_011415	Domain of unknown function (DUF4749)	-
Mhon_011417	Belongs to the peptidase S1 family	-
Mhon_011419	Homeodomain	-
Mhon_011420	Thiopurine S-methyltransferase	-
Mhon_011422	Alpha-carbonic anhydrase	-
Mhon_011423	carbonic anhydrase	-
Mhon_011424	positive regulation of metaphase/anaphase transition of meiosis I	C05D10.2
Mhon_011426	replication protein A 32 kDa	RPA2
Mhon_011429	Recruits TFIIH to the initiation complex and stimulates the RNA polymerase II C-terminal domain kinase and DNA-dependent ATPase activities of TFIIH. Both TFIIH and TFIIE are required for promoter clearance by RNA polymerase	-
Mhon_011431	protein complex 3, delta 1 subunit	g
Mhon_011432	lung ciliated cell differentiation	-
Mhon_011433	zinc finger, DHHC-type containing 21	-
Mhon_011436	mitotic centrosome separation	-
Mhon_011437	Programmed cell death protein 2, C-terminal putative domain	trus
Mhon_011452	Pyridoxal-phosphate dependent enzyme	-
Mhon_011453	Nuclear protein localization	-
Mhon_011455	receptor	-
Mhon_011456	Receptor tyrosine-protein kinase involved in numerous cellular mechanisms including cell proliferation, neuronal navigation, cell migration, and cell differentiation upon binding with glial cell derived neurotrophic factor family ligands	-
Mhon_011457	mitochondrial thiamine pyrophosphate transmembrane transport	-
Mhon_011458	homophilic cell adhesion via plasma membrane adhesion molecules	-
Mhon_011460	serine C-palmitoyltransferase activity	sptlc2
Mhon_011464	cystathionine gamma-lyase activity	-
Mhon_011465	ubiquitin-conjugating enzyme	-
Mhon_011467	2 iron, 2 sulfur cluster binding	Fdxh
Mhon_011468	calcium ion transport	CACHD1
Mhon_011471	protein tyrosine phosphatase activity	-
Mhon_011479	Alcohol dehydrogenase transcription factor Myb/SANT-like	-
Mhon_011482	Scavenger receptor Cys-rich	-
Mhon_011483	Ran GTPase binding	Cas
Mhon_011491	high mobility group	-
Mhon_011493	Protein tyrosine kinase	-
Mhon_011494	protein serine/threonine kinase activity	-
Mhon_011497	Protein LTV1 homolog	-
Mhon_011498	TFIIS helical bundle-like domain	-
Mhon_011499	TAL1 (SCL) interrupting locus	-
Mhon_011502	uridylate kinase activity	C29F7.3
Mhon_011503	Uncharacterised conserved protein (DUF2373)	-
Mhon_011504	-	-
Mhon_011505	DNA binding	-
Mhon_011506	GATA zinc finger	-
Mhon_011507	transmembrane receptor protein tyrosine kinase activity	Ror
Mhon_011509	Belongs to the peptidase C14A family	CASPS7
Mhon_011510	scavenger receptor activity	-
Mhon_011513	scavenger receptor activity	SCRASP1
Mhon_011515	exocytosis	-
Mhon_011516	mRNA cis splicing, via spliceosome	-
Mhon_011517	It is involved in the biological process described with RNA processing	-
Mhon_011518	positive regulation of lung ciliated cell differentiation	-
Mhon_011519	pyridoxal-dependent decarboxylase	-
Mhon_011522	Fibronectin type 3 domain	rig-4
Mhon_011523	Secreted protein acidic and rich in cysteine Ca binding region	ost-1
Mhon_011526	Domain present in phytochromes and cGMP-specific phosphodiesterases.	-
Mhon_011528	stress granule assembly	rin
Mhon_011532	positive regulation of clathrin coat assembly	lqf
Mhon_011533	medium-chain fatty acid-CoA ligase activity	-
Mhon_011534	Meiotic recombination protein DMC1 LIM15 homolog	-
Mhon_011535	U4atac snRNA binding	-
Mhon_011536	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family	-
Mhon_011537	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family	-
Mhon_011538	Rhomboid family	rho
Mhon_011539	HAUS augmin-like complex subunit 2	-
Mhon_011540	Ubiquitin conjugation factor E4 A	-
Mhon_011541	UPF0764 protein C16orf89 homolog	-
Mhon_011542	Protein flightless-1 homolog	FLII
Mhon_011543	ATP binding	-
Mhon_011544	-	-
Mhon_011547	zinc ion binding	-
Mhon_011555	Bone morphogenetic protein 3	unc-129
Mhon_011558	-	-
Mhon_011560	protein C4orf22 homolog	-
Mhon_011561	MAM domain, meprin/A5/mu	-
Mhon_011562	zinc metalloproteinase	-
Mhon_011563	metalloendopeptidase activity	-
Mhon_011565	It is involved in the biological process described with proteolysis	-
Mhon_011567	Trypsin-like serine protease	-
Mhon_011570	RNA trimethylguanosine synthase activity	-
Mhon_011571	SAM domain (Sterile alpha motif)	ave
Mhon_011573	LSM4 homolog, U6 small nuclear RNA	-
Mhon_011574	TraB domain containing	-
Mhon_011576	3-oxo-cerotoyl-CoA synthase activity	-
Mhon_011577	Calcyphosin-like protein	-
Mhon_011578	tubulin-glutamic acid ligase activity	-
Mhon_011581	structural constituent of ribosome	RpS12
Mhon_011582	Belongs to the sulfotransferase 1 family	-
Mhon_011583	Triose-phosphate Transporter family	-
Mhon_011584	Belongs to the uridine kinase family	-
Mhon_011585	cilium assembly	osm-1
Mhon_011586	nuclear receptor transcription coactivator activity	-
Mhon_011586	Helicase with zinc finger	-
Mhon_011587	Helicase with zinc finger	-
Mhon_011588	nuclear receptor transcription coactivator activity	-
Mhon_011589	nuclear receptor transcription coactivator activity	-
Mhon_011591	Teratocarcinoma-derived growth	-
Mhon_011592	Zygote arrest 1-like	-
Mhon_011593	Protein of unknown function (DUF1232)	-
Mhon_011594	cytoskeleton-dependent intracellular transport	hk
Mhon_011600	Nucleolar protein 4	-
Mhon_011607	7 transmembrane receptor (rhodopsin family)	-
Mhon_011608	7 transmembrane receptor (rhodopsin family)	-
Mhon_011609	7 transmembrane receptor (rhodopsin family)	-
Mhon_011611	metanephros morphogenesis	-
Mhon_011615	RNA processing	-
Mhon_011617	Rap guanyl-nucleotide exchange factor activity	-
